Radiación fondo 1 s,Radiación fondo 10s,Radiacion fondo 0 60s,Radiación camisa 10s,Radiación columbita sin 10s,Radiación columbita papel 10s,Radiación columbita plomo 10s,Radiación radio 3 μg sin 10s,Radiación radio 3 μg papel 10s,Radiación radio 3 μg plomo 10s,Cesio sin 10s,Cesio papel 10s,Cesio plomo 10s,Estroncio sin 10s,Estroncio papel 10s,Estroncio plomo 10s,Radio 226 3cm 1s,Radio 226 4cm 1s,Radio 226 5cm 1s,Radio 226 6cm 1s,Radio 226 7cm 1s,Radio 226 8cm 1s,Radio 226 9cm 1s,Radio 226 10cm 1s,Radio 226 11cm 1s,Radio 226 12cm 1s,Radio 226 13cm 1s,Radio 226 14cm 1s
0,4,25,106,12,20,2,199,209,164,562,568,45,451,426,8,2962,2016,1565,1224,936,695,593,515,409,360,281,244
0,5,26,84,15,18,4,196,171,181,636,534,50,424,424,5,2978,1942,1544,1174,926,752,567,420,415,369,280,229
0,5,25,60,13,8,12,182,186,159,618,580,70,412,401,5,3057,2007,1546,1187,904,753,625,527,417,330,261,254
1,3,26,87,8,15,8,209,188,158,588,550,47,452,409,2,2967,2004,1548,1163,936,695,618,539,393,366,281,249
0,3,32,84,11,19,8,180,174,172,641,549,55,416,416,1,2927,1998,1472,1132,892,738,623,510,382,339,326,230
,,,101,13,11,7,195,193,158,616,543,47,430,400,2,2951,1941,1579,1191,889,644,629,528,440,370,283,257
0,2,26,97,18,21,4,226,188,164,574,600,60,414,423,4,2963,2052,1546,1184,875,735,555,514,401,390,326,245
0,0,23,94,13,9,3,201,206,166,623,532,60,415,443,3,3008,1991,1528,1192,893,764,608,476,390,353,292,238
2,3,25,88,12,6,9,175,196,203,637,567,51,438,426,4,3055,2015,1518,1182,937,678,599,541,408,339,310,249
0,3,21,97,15,11,4,179,178,165,596,560,45,434,443,3,2942,2033,1576,1093,899,725,598,501,361,374,292,243
0,5,20,91,,,,,,,,,,,,,,,,,,,,,,,,
,,,101,,,,,,,,,,,,,,,,,,,,,,,,
0,4,18,101,,,,,,,,,,,,,,,,,,,,,,,,
0,5,32,85,,,,,,,,,,,,,,,,,,,,,,,,
1,1,33,100,,,,,,,,,,,,,,,,,,,,,,,,
0,8,35,89,,,,,,,,,,,,,,,,,,,,,,,,
0,8,28,114,,,,,,,,,,,,,,,,,,,,,,,,
,,,124,,,,,,,,,,,,,,,,,,,,,,,,
,,,95,,,,,,,,,,,,,,,,,,,,,,,,
,,,78,,,,,,,,,,,,,,,,,,,,,,,,
,,,89,,,,,,,,,,,,,,,,,,,,,,,,
,,,95,,,,,,,,,,,,,,,,,,,,,,,,
,,,83,,,,,,,,,,,,,,,,,,,,,,,,
,,,97,,,,,,,,,,,,,,,,,,,,,,,,
,,,86,,,,,,,,,,,,,,,,,,,,,,,,
,,,94,,,,,,,,,,,,,,,,,,,,,,,,
,,,82,,,,,,,,,,,,,,,,,,,,,,,,
,,,85,,,,,,,,,,,,,,,,,,,,,,,,
,,,105,,,,,,,,,,,,,,,,,,,,,,,,
,,,91,,,,,,,,,,,,,,,,,,,,,,,,
,,,113,,,,,,,,,,,,,,,,,,,,,,,,
,,,99,,,,,,,,,,,,,,,,,,,,,,,,
,,,88,,,,,,,,,,,,,,,,,,,,,,,,
,,,92,,,,,,,,,,,,,,,,,,,,,,,,
,,,105,,,,,,,,,,,,,,,,,,,,,,,,
,,,85,,,,,,,,,,,,,,,,,,,,,,,,
,,,99,,,,,,,,,,,,,,,,,,,,,,,,
,,,97,,,,,,,,,,,,,,,,,,,,,,,,
,,,97,,,,,,,,,,,,,,,,,,,,,,,,
,,,91,,,,,,,,,,,,,,,,,,,,,,,,
,,,97,,,,,,,,,,,,,,,,,,,,,,,,
,,,84,,,,,,,,,,,,,,,,,,,,,,,,
,,,97,,,,,,,,,,,,,,,,,,,,,,,,
,,,86,,,,,,,,,,,,,,,,,,,,,,,,
,,,95,,,,,,,,,,,,,,,,,,,,,,,,
,,,102,,,,,,,,,,,,,,,,,,,,,,,,
,,,87,,,,,,,,,,,,,,,,,,,,,,,,
,,,124,,,,,,,,,,,,,,,,,,,,,,,,
,,,89,,,,,,,,,,,,,,,,,,,,,,,,
,,,78,,,,,,,,,,,,,,,,,,,,,,,,
,,,94,,,,,,,,,,,,,,,,,,,,,,,,
,,,81,,,,,,,,,,,,,,,,,,,,,,,,
,,,83,,,,,,,,,,,,,,,,,,,,,,,,
,,,86,,,,,,,,,,,,,,,,,,,,,,,,
,,,90,,,,,,,,,,,,,,,,,,,,,,,,
,,,103,,,,,,,,,,,,,,,,,,,,,,,,
,,,95,,,,,,,,,,,,,,,,,,,,,,,,
,,,114,,,,,,,,,,,,,,,,,,,,,,,,
,,,101,,,,,,,,,,,,,,,,,,,,,,,,
,,,105,,,,,,,,,,,,,,,,,,,,,,,,
,,,90,,,,,,,,,,,,,,,,,,,,,,,,
,,,91,,,,,,,,,,,,,,,,,,,,,,,,
,,,104,,,,,,,,,,,,,,,,,,,,,,,,
,,,103,,,,,,,,,,,,,,,,,,,,,,,,
,,,99,,,,,,,,,,,,,,,,,,,,,,,,
,,,84,,,,,,,,,,,,,,,,,,,,,,,,
,,,82,,,,,,,,,,,,,,,,,,,,,,,,
,,,102,,,,,,,,,,,,,,,,,,,,,,,,
,,,105,,,,,,,,,,,,,,,,,,,,,,,,
,,,108,,,,,,,,,,,,,,,,,,,,,,,,
,,,80,,,,,,,,,,,,,,,,,,,,,,,,
,,,94,,,,,,,,,,,,,,,,,,,,,,,,
,,,98,,,,,,,,,,,,,,,,,,,,,,,,
,,,104,,,,,,,,,,,,,,,,,,,,,,,,
,,,115,,,,,,,,,,,,,,,,,,,,,,,,
,,,98,,,,,,,,,,,,,,,,,,,,,,,,
,,,72,,,,,,,,,,,,,,,,,,,,,,,,
,,,82,,,,,,,,,,,,,,,,,,,,,,,,
,,,103,,,,,,,,,,,,,,,,,,,,,,,,
,,,108,,,,,,,,,,,,,,,,,,,,,,,,
,,,122,,,,,,,,,,,,,,,,,,,,,,,,
,,,106,,,,,,,,,,,,,,,,,,,,,,,,
,,,73,,,,,,,,,,,,,,,,,,,,,,,,
,,,82,,,,,,,,,,,,,,,,,,,,,,,,
,,,108,,,,,,,,,,,,,,,,,,,,,,,,
,,,94,,,,,,,,,,,,,,,,,,,,,,,,
,,,112,,,,,,,,,,,,,,,,,,,,,,,,
,,,110,,,,,,,,,,,,,,,,,,,,,,,,
,,,109,,,,,,,,,,,,,,,,,,,,,,,,
,,,117,,,,,,,,,,,,,,,,,,,,,,,,
,,,114,,,,,,,,,,,,,,,,,,,,,,,,
,,,97,,,,,,,,,,,,,,,,,,,,,,,,
,,,103,,,,,,,,,,,,,,,,,,,,,,,,
,,,102,,,,,,,,,,,,,,,,,,,,,,,,
,,,105,,,,,,,,,,,,,,,,,,,,,,,,
,,,100,,,,,,,,,,,,,,,,,,,,,,,,
,,,86,,,,,,,,,,,,,,,,,,,,,,,,
,,,108,,,,,,,,,,,,,,,,,,,,,,,,
,,,111,,,,,,,,,,,,,,,,,,,,,,,,
,,,107,,,,,,,,,,,,,,,,,,,,,,,,
